Price,Close
Ticker,GOOG
Date,
2024-12-06,175.72093200683594
2024-12-09,176.5283203125
2024-12-10,185.92787170410156
2024-12-11,196.07501220703125
2024-12-12,193.0049591064453
2024-12-13,190.76220703125
2024-12-16,197.5203399658203
2024-12-17,196.4836883544922
2024-12-18,189.5361785888672
2024-12-19,189.08761596679688
2024-12-20,192.33712768554688
2024-12-23,195.3573455810547
2024-12-24,196.93222045898438
2024-12-26,196.4637451171875
2024-12-27,193.4136199951172
2024-12-30,192.0679931640625
2024-12-31,189.8252410888672
2025-01-02,190.01463317871094
2025-01-03,192.50657653808594
2025-01-06,197.32098388671875
2025-01-07,196.07501220703125
2025-01-08,194.75927734375
2025-01-10,192.5464324951172
2025-01-13,191.6692657470703
2025-01-14,190.43328857421875
2025-01-15,196.34413146972656
2025-01-16,193.78244018554688
2025-01-17,196.9123077392578
2025-01-21,198.98558044433594
2025-01-22,199.38429260253906
2025-01-23,198.9357452392578
2025-01-24,201.2482452392578
2025-01-27,193.14450073242188
2025-01-28,196.43386840820312
2025-01-29,196.54347229003906
2025-01-30,201.9759063720703
2025-01-31,204.93630981445312
2025-02-03,201.98585510253906
2025-02-04,207.0395050048828
2025-02-05,192.67601013183594
2025-02-06,192.6859588623047
2025-02-07,186.53590393066406
2025-02-10,187.59246826171875
2025-02-11,186.46612548828125
2025-02-12,184.83140563964844
2025-02-13,187.27352905273438
2025-02-14,186.2667694091797
2025-02-18,185.20021057128906
2025-02-19,186.52593994140625
2025-02-20,186.03750610351562
2025-02-21,180.99383544921875
2025-02-24,180.6051025390625
2025-02-25,176.7974395751953
2025-02-26,174.13604736328125
2025-02-27,169.6605682373047
2025-02-28,171.6640625
2025-03-03,168.1155548095703
2025-03-04,172.05279541015625
2025-03-05,174.4251251220703
2025-03-06,173.64764404296875
2025-03-07,175.1826629638672
2025-03-10,167.4588623046875
2025-03-11,165.6326904296875
2025-03-12,168.6463623046875
2025-03-13,164.3852996826172
2025-03-14,167.26925659179688
2025-03-17,166.22145080566406
2025-03-18,162.32960510253906
2025-03-19,165.9320526123047
2025-03-20,164.7046356201172
2025-03-21,165.90213012695312
2025-03-24,169.5744171142578
2025-03-25,172.42843627929688
2025-03-26,166.79025268554688
2025-03-27,163.73666381835938
2025-03-28,155.7334442138672
2025-03-31,155.90309143066406
2025-04-01,158.54754638671875
2025-04-02,158.527587890625
2025-04-03,152.3106231689453
2025-04-04,147.4308624267578
2025-04-07,148.92771911621094
2025-04-08,146.27328491210938
2025-04-09,160.72299194335938
2025-04-10,155.04489135742188
2025-04-11,159.0664520263672
2025-04-14,161.13214111328125
2025-04-15,158.34796142578125
2025-04-16,155.17462158203125
2025-04-17,153.0391082763672
